ID,MID,WILAYAH,CHANNEL
,203163399,WPL,PPP
,203163407,WPL,PPP
,203163415,WPL,PPP
,203163423,WPL,PPP
,203163431,WPL,PPP
,203163449,WPL,PPP
,203163456,WPL,PPP
,203163464,WPL,PPP
,203163472,WPL,PPP
,203163480,WPL,PPP
,203163498,WPL,PPP
,203163506,WPL,PPP
,203163514,WPL,PPP
,203163522,WPL,PPP
,203163530,WPL,PPP
,203163548,WPL,PPP
,203163555,WPL,PPP
,203163563,WPL,PPP
,203163571,WPL,PPP
,203163589,WPL,PPP
,203163597,WPL,PPP
,203163605,WPL,PPP
,203163613,WPL,PPP
,203163621,WPL,PPP
,203163639,WPL,PPP
,203163647,WPL,PPP
,203163654,WPL,PPP
,203163662,WPL,PPP
,203163670,WPL,PPP
,203163688,WPL,PPP
,203163696,WPL,PPP
,203163704,WPL,PPP
,203163712,WPL,PPP
,203163720,WPL,PPP
,203163738,WPL,PPP
,203163746,WPL,PPP
,203163753,WPL,PPP
,203163761,WPL,PPP
,203163779,WPL,PPP
,203163787,WPL,PPP
,203163795,WPL,PPP
,203163803,WPL,PPP
,203163811,WPL,PPP
,203163829,WPL,PPP
,203163837,WPL,PPP
,203163845,WPL,PPP
,203163852,WPL,PPP
,203163860,WPL,PPP
,203163878,WPL,PPP
,203163886,WPL,PPP
,203163894,WPL,PPP
,203163902,WPL,PPP
,203163910,WPL,PPP
,203163928,WPL,PPP
,203163936,WPL,PPP
,203163944,WPL,PPP
,203163951,WPL,PPP
,203163969,WPL,PPP
,203163977,WPL,PPP
,203163985,WPL,PPP
,203163993,WPL,PPP
,203164009,WPL,PPP
,203164017,WPL,PPP
,203164025,WPL,PPP
,203164033,WPL,PPP
,203164041,WPL,PPP
,203164058,WPL,PPP
,203164066,WPL,PPP
,203164074,WPL,PPP
,203164082,WPL,PPP
,203164090,WPL,PPP
,203164108,WPL,PPP
,203164116,WPL,PPP
,203164124,WPL,PPP
,203164132,WPL,PPP
,203164140,WPL,PPP
,203164157,WPL,PPP
,203164165,WPL,PPP
,203164173,WPL,PPP
,203164181,WPL,PPP
,203164199,WPL,PPP
,203164207,WPL,PPP
,203164215,WPL,PPP
,203164223,WPL,PPP
,203164231,WPL,PPP
,203164249,WPL,PPP
,203164256,WPL,PPP
,203164264,WPL,PPP
,203164272,WPL,PPP
,203164280,WPL,PPP
,203164298,WPL,PPP
,203164306,WPL,PPP
,203164314,WPL,PPP
,203164322,WPL,PPP
,203164330,WPL,PPP
,203164348,WPL,PPP
,203164355,WPL,PPP
,203164363,WPL,PPP
,203164371,WPL,PPP
,203164389,WPL,PPP
,203164397,WPL,PPP
,203164405,WPL,PPP
,203164413,WPL,PPP
,203164421,WPL,PPP
,203164439,WPL,PPP
,203164447,WPL,PPP
,203164454,WPL,PPP
,203164462,WPL,PPP
,203164470,WPL,PPP
,203164488,WPL,PPP
,203164496,WPL,PPP
,203164504,WPL,PPP
,203164512,WPL,PPP
,203164520,WPL,PPP
,203164538,WPL,PPP
,203164546,WPL,PPP
,203164553,WPL,PPP
,203164561,WPL,PPP
,203164579,WPL,PPP
,203164587,WPL,PPP
,203164595,WPL,PPP
,203164603,WPL,PPP
,203164611,WPL,PPP
,203164629,WPL,PPP
,203164637,WPL,PPP
,203164645,WPL,PPP
,203164652,WPL,PPP
,203164660,WPL,PPP
,203164678,WPL,PPP
,203164686,WPL,PPP
,203164694,WPL,PPP
,203164702,WPL,PPP
,203164710,WPL,PPP
,203164728,WPL,PPP
,203164736,WPL,PPP
,203164744,WPL,PPP
,203164751,WPL,PPP
,203164769,WPL,PPP
,203164777,WPL,PPP
,203164785,WPL,PPP
,203164793,WPL,PPP
,203164801,WPL,PPP
,203164819,WPL,PPP
,203164827,WPL,PPP
,203164835,WPL,PPP
,203164843,WPL,PPP
,203164850,WPL,PPP
,203164868,WPL,PPP
,203164876,WPL,PPP
,203164884,WPL,PPP
,203164892,WPL,PPP
,203164900,WPL,PPP
,203164918,WPL,PPP
,203164926,WPL,PPP
,203164934,WPL,PPP
,203164942,WPL,PPP
,203164959,WPL,PPP
,203164967,WPL,PPP
