NO,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
4119,001028505,SPBU 14.2122.68          ,08,140909,MEDAN        ,167,A1X2MA000000000000,003
4120,001028513,MARKET ELEKTRONIK        ,08,101109,MEDAN        ,093,A1X2DA000000000000,001
4121,001028521,AYU COLLECTION           ,08,280809,MEDAN        ,187,A1X2MA000000000000,001
4122,001028547,SPBU 14.2122.78          ,08,140909,MEDAN        ,167,A1X2MA000000000000,003
4123,001028554,PD SINAR MAS SIANTAR MBL ,08,140909,PEMATANGSIANT,100,B1X2MA000000000000,001
4124,001028562,FIT SERVICE              ,08,110909,MEDAN        ,146,A1X1MA000000000000,001
4125,001028570,SMT                      ,08,070909,MEDAN        ,146,A1X2MA000000000000,001
4126,001028588,SINAR DELI               ,08,091009,MEDAN        ,146,A1X2MA000000000000,001
4127,001028596,SUCCES JAYA AUDIO        ,08,110909,MEDAN        ,146,A1X2MA000000000000,001
4128,001028604,TOKO OBAT SHANGHAI       ,08,090909,MEDAN        ,146,A1X2MA000000000000,001
4129,001028612,NIPPON TARUTUNG MOTOR    ,08,090909,MEDAN        ,146,A1X2MA000000000000,001
4130,001028620,OKE SHOP TATAGRAHA       ,08,040909,MEDAN        ,100,A1X1MA000000000000,001
4131,001028638,NSCC BANDA ACEH          ,08,040909,BANDA ACEH   ,000,A1X1MA000000000000,001
4132,001028646,NSCC MEDAN               ,08,040909,MEDAN        ,000,A1X1MA000000000000,001
4133,001028653,NS CAMBRIDGE MEDAN       ,08,040909,MEDAN        ,000,A1X1MA000000000000,001
4134,001028661,GLOBAL TELESHOP PLZ MILLE,08,040909,MEDAN        ,000,A1X1MA000000000000,001
4135,001028679,GLOBAL TELESHOP CTR MDN  ,08,040909,MEDAN        ,000,A1X1MA000000000000,001
4136,001028687,GLOBAL TELESHOP MDN PLZ  ,08,040909,MEDAN        ,000,B1X1MA007004060AK1,001
4137,001028695,GLOBAL TELESHOP MDN MAL  ,08,040909,MEDAN        ,000,A1X1MA000000000000,001
4138,001028703,GLOBAL TELESHOP SUN PLZ  ,08,040909,MEDAN        ,000,A1X1MA000000000000,001
4139,001028711,EXH PERFECT HEALTH MDN   ,08,090909,MEDAN        ,100,A3X1MA000000000000,001
