RowID,BatchID,OPEN_DATE,MID,MERCHAN_DBA_NAME,MSO,SOURCE_CODE,POS1,WILAYAH,CHANNEL,TYPE_MID,IS_UPDATE
83,999,2018-08-14,201031739,"MID INSTANT WMD 090      ","   ","                  ",1,WMD,NULL,EDC,0
84,999,2018-08-14,201031747,"MID INSTANT WMD 091      ","   ","                  ",1,WMD,NULL,EDC,0
85,999,2018-08-14,201031754,"MID INSTANT WMD 092      ","   ","                  ",1,WMD,NULL,EDC,0
86,999,2018-08-14,201031762,"MID INSTANT WMD 093      ","   ","                  ",1,WMD,NULL,EDC,0
87,999,2018-08-14,201031770,"MID INSTANT WMD 094      ","   ","                  ",1,WMD,NULL,EDC,0
88,999,2018-08-14,201031788,"MID INSTANT WMD 095      ","   ","                  ",1,WMD,NULL,EDC,0
89,999,2018-08-14,201031796,"MID INSTANT WMD 096      ","   ","                  ",1,WMD,NULL,EDC,0
90,999,2018-08-14,201031804,"MID INSTANT WMD 097      ","   ","                  ",1,WMD,NULL,EDC,0
91,999,2018-08-14,201031812,"MID INSTANT WMD 098      ","   ","                  ",1,WMD,NULL,EDC,0
92,999,2018-08-14,201031820,"MID INSTANT WMD 099      ","   ","                  ",1,WMD,NULL,EDC,0
93,999,2018-08-14,201031838,"MID INSTANT WMD 100      ","   ","                  ",1,WMD,NULL,EDC,0
94,999,2017-04-04,201076122,"EXH P3 INDOSAT MOTO M MBL","   ","                  ",1,WMD,NULL,EDC,0
95,999,2017-04-04,201076155,"PATRA COMFORT PARAPAT HOT","   ","                  ",1,WMD,NULL,EDC,0
96,999,2017-04-04,201076163,"KEDAI KOPI SEDAP         ","   ","                  ",1,WMD,NULL,EDC,0
97,999,2017-04-04,201076189,"TIMBO CAFE               ","   ",B1X2MA298402237DSM,1,WMD,NULL,EDC,0
98,999,2017-04-04,201076197,"INDOGROSIR MEDAN MBL     ","   ",B1Y3RQ003099001MR2,1,WMD,NULL,EDC,0
99,999,2017-05-12,201080207,"IDM T1U7                 ","   ",K1Y1RQ020289001MR2,1,WMD,NULL,EDC,0
100,999,2017-05-12,201080215,"IDM TRIF                 ","   ",K1Y1RQ020289001MR2,1,WMD,NULL,EDC,0
